channel_identifier,genre,subscriber_count,total_views,video_count,channel_age_days,collected_video_count,avg_upload_interval_days,std_upload_interval_days,max_gap_days,hiatus_count_30d,avg_view_count,std_view_count,avg_like_count,avg_comment_count,avg_normal_view,regularity_score,cv,outlier_ratio,gap_ratio,sensitive_score,n_sensitive_videos,sensitive_video_ratio,cat_politics,cat_hate,cat_aggro,cat_adult_illegal,is_churned
CH04995,가수+댄스+음악,240000,109650000,124,5679,50,86.51,157.18,778.0,21,352887.52,530271.78,5695.32,266.88,352887.52,0.4757,1.817,0.102,8.99,0.0,0,0.0,0,0,0,0,1
CH04996,게임,240000,139160000,660,2834,50,2.51,0.54,4.0,0,54525.46,12604.68,1140.24,110.48,54525.46,0.9055,0.215,0.0204,1.59,0.0533,4,0.08,0,0,4,0,1
CH04998,레시피+요리+음식,240000,199250000,612,1822,50,2.86,0.35,3.0,0,102261.12,30550.26,3544.98,262.88,102261.12,0.9026,0.122,0.1429,1.05,0.04,2,0.04,0,0,2,0,0
CH04999,BJ+연예인+인물,240000,40490000,361,2263,50,13.98,66.26,467.0,2,58875.7,100326.05,1420.0,160.66,64494.41,0.381,4.74,0.0204,33.41,0.0,0,0.0,0,0,0,0,0
CH05000,TV+방송,240000,127260000,462,2162,50,3.16,3.46,21.0,0,36670.44,67999.42,570.36,25.68,27212.55,0.6226,1.094,0.0408,6.64,0.0,0,0.0,0,0,0,0,0
CH05001,가수+댄스+음악,240000,76870000,321,4660,50,11.9,18.23,110.0,5,193606.88,276124.4,7022.04,1068.74,202513.83,0.5068,1.532,0.0408,9.25,0.0133,1,0.02,0,0,1,0,0
CH05002,IT+기술+컴퓨터,240000,103800000,1599,4595,50,1.41,1.48,7.0,0,44535.88,62345.04,388.18,64.56,57126.31,0.6627,1.053,0.0816,4.97,0.04,3,0.06,0,0,3,0,0
CH05003,미용+패션,240000,32490000,249,3422,50,6.04,10.66,51.0,3,10369.98,6466.24,146.46,10.4,8971.89,0.507,1.765,0.0612,8.44,0.0,0,0.0,0,0,0,0,0
CH05004,만화+애니+영화,240000,465010000,8222,4594,50,0.06,0.24,1.0,0,3518.14,3775.03,62.48,1.4,3132.75,0.8849,0.24,0.0612,1.0,0.0,0,0.0,0,0,0,0,0
CH05005,BJ+연예인+인물,240000,116980000,779,3090,50,2.96,3.26,13.0,0,215791.62,97734.75,4715.2,243.74,217898.73,0.6737,1.101,0.0816,4.39,0.02,1,0.02,0,0,1,0,0
CH05006,BJ+연예인+인물,240000,48340000,284,2147,50,3.8,2.89,11.0,0,114436.56,40617.39,1258.66,154.5,117050.0,0.7535,0.76,0.102,2.9,0.02,1,0.02,0,1,0,0,0
CH05008,IT+기술+컴퓨터,240000,329830000,1560,5007,50,0.67,0.87,4.0,0,77086.34,104795.97,763.98,146.86,47102.8,0.7026,0.866,0.1224,4.0,0.0267,2,0.04,0,0,2,0,0
CH05009,국내+여행+해외,240000,334680000,810,4646,50,0.8,0.9,4.0,0,355706.44,554479.8,3270.26,130.02,62723.3,0.7158,0.903,0.0612,4.0,0.0,0,0.0,0,0,0,0,0
CH05010,BJ+연예인+인물,240000,7660000,58,4664,50,22.9,33.13,129.0,11,121322.08,130619.86,3813.98,220.76,124364.06,0.5985,1.447,0.102,5.63,0.0133,1,0.02,0,0,1,0,0
CH05011,어린이+키즈,240000,39940000,256,4788,50,3.82,2.29,12.0,0,117345.76,67651.36,2282.24,188.78,117345.76,0.7838,0.601,0.0816,3.14,0.0,0,0.0,0,0,0,0,1
CH05012,강의+교육,240000,93710000,650,4635,50,0.53,0.5,1.0,0,74395.82,186840.42,335.44,16.78,25409.33,0.8335,0.499,0.0,1.0,0.0,0,0.0,0,0,0,0,0
CH05014,반려동물+애완,240000,161440000,130,2657,50,2.86,3.65,21.0,0,1802477.86,1341153.23,42675.18,1081.68,0.0,0.5892,1.277,0.0204,7.35,0.0,0,0.0,0,0,0,0,1
CH05015,라이프+취미,240000,196260000,550,3072,50,3.1,6.99,43.0,1,38698.18,90327.08,441.06,16.1,21494.47,0.4415,2.253,0.0408,13.86,0.0,0,0.0,0,0,0,0,1
CH05016,BJ+연예인+인물,240000,76540000,392,5552,50,0.94,1.36,4.0,0,117014.24,205804.04,1205.02,42.28,154647.0,0.6281,1.361,0.1837,4.0,0.02,1,0.02,0,0,0,1,0
CH05017,레시피+요리+음식,240000,46060000,292,1929,50,3.96,2.23,10.0,0,35415.64,33179.56,875.92,30.2,35415.64,0.7953,0.564,0.0816,2.53,0.1,5,0.1,0,0,5,0,0
CH05018,라이프+취미,240000,95320000,156,1580,50,9.61,9.73,40.0,2,519085.68,939185.15,4821.12,378.74,602652.75,0.6786,1.012,0.1224,4.16,0.0,0,0.0,0,0,0,0,0
CH05019,게임,240000,105210000,634,1805,50,2.88,2.87,12.0,0,186885.26,215258.59,1998.22,453.46,186934.84,0.6986,0.997,0.0612,4.17,0.04,2,0.04,0,0,2,0,0
CH05020,게임,240000,180460000,519,3548,50,28.55,89.52,629.0,8,86002.74,97648.53,768.58,173.36,86002.74,0.4148,3.135,0.0204,22.03,0.0733,4,0.08,0,0,4,0,1
CH05021,게임,240000,209010000,3401,4595,50,19.98,45.67,205.0,6,29193.4,75548.21,230.22,30.82,19723.56,0.4338,2.286,0.0612,10.26,0.0467,3,0.06,0,0,3,0,0
CH05022,어린이+키즈,240000,96740000,266,3451,50,34.88,178.44,1211.0,2,373646.26,576947.54,2651.6,30.67,381070.65,0.3695,5.116,0.0408,34.72,0.0,0,0.0,0,0,0,0,1
CH05023,만화+애니+영화,240000,251800000,3508,4497,50,0.29,0.61,3.0,0,2985.88,2810.34,50.74,4.04,2868.1,0.7991,0.606,0.0408,3.0,0.0467,3,0.06,0,0,3,0,0
CH05025,반려동물+애완,240000,101550000,416,2504,50,6.1,0.95,7.0,0,147515.52,123632.07,4613.26,316.84,148155.06,0.9141,0.156,0.0612,1.15,0.0267,2,0.04,0,0,2,0,0
CH05026,만화+애니+영화,240000,71300000,62,2868,50,8.35,6.28,46.0,1,1315647.72,1184902.52,6660.18,826.71,1315647.72,0.7075,0.752,0.0204,5.51,0.04,3,0.06,0,0,3,0,1
CH05027,BJ+연예인+인물,240000,48270000,229,3432,50,6.24,5.13,23.0,0,81601.28,99265.84,696.4,121.96,65196.81,0.7243,0.822,0.102,3.68,0.02,1,0.02,0,0,1,0,0
CH05029,레시피+요리+음식,240000,1680000,207,3778,50,3.61,12.85,78.0,3,3722.74,2107.01,0.0,6.06,3528.27,0.3913,3.558,0.0612,21.59,0.0,0,0.0,0,0,0,0,0
CH05031,레시피+요리+음식,240000,79120000,757,1598,50,1.59,2.36,11.0,0,37308.8,56884.66,549.4,16.64,49989.04,0.5716,1.48,0.0612,6.91,0.0267,2,0.04,0,0,2,0,0
CH05032,국내+여행+해외,240000,42570000,245,1397,50,9.18,8.04,48.0,1,223997.06,132235.23,5733.92,885.18,230910.58,0.6845,0.876,0.0612,5.23,0.0,0,0.0,0,0,0,0,0
CH05033,레시피+요리+음식,240000,116260000,500,3634,50,5.96,1.59,7.0,0,125636.66,27157.91,1516.7,240.12,125636.66,0.8641,0.267,0.102,1.17,0.0,0,0.0,0,0,0,0,0
CH05034,게임,240000,213970000,7234,4615,50,7.94,12.05,72.0,1,17333.78,13445.4,212.5,42.66,17333.78,0.5129,1.518,0.0408,9.07,0.12,9,0.18,0,0,9,0,1
CH05035,BJ+연예인+인물,240000,30720000,155,1873,50,14.86,48.06,339.0,4,107538.54,165067.35,1416.44,159.58,139518.57,0.4119,3.235,0.0204,22.82,0.0467,3,0.06,0,0,2,1,0
CH05036,스포츠+운동,240000,156310000,1690,4759,50,0.67,0.93,4.0,0,71224.8,41693.08,867.28,67.34,63111.45,0.7115,0.934,0.0612,4.0,0.0,0,0.0,0,0,0,0,0
CH05037,BJ+연예인+인물,240000,216760000,595,4347,50,7.65,8.06,45.0,2,339629.4,254234.3,4125.52,955.2,339629.4,0.6368,1.053,0.0816,5.88,0.0133,1,0.02,0,0,1,0,1
CH05038,국내+여행+해외,240000,38030000,2504,4328,50,0.0,0.0,0.0,0,1873.24,1696.99,15.64,0.42,0.0,1.0,0.0,0.0,0.0,0.0067,1,0.02,0,0,1,0,0
CH05039,라이프+취미,240000,19420000,371,2656,50,7.98,10.37,73.0,1,28497.4,23007.13,189.71,51.12,43144.48,0.5356,1.3,0.0204,9.15,0.0133,1,0.02,0,0,1,0,1
CH05040,TV+방송,240000,66320000,100,2477,50,5.51,10.7,73.0,1,445893.6,647148.9,7052.28,872.24,449174.12,0.4577,1.942,0.0408,13.25,0.02,1,0.02,0,0,1,0,1
CH05042,가수+댄스+음악,240000,55170000,1210,4171,50,0.59,1.54,8.0,0,4999.7,4089.66,495.94,25.8,2932.75,0.5419,1.538,0.0408,8.0,0.0,0,0.0,0,0,0,0,0
CH05043,스포츠+운동,240000,210130000,5180,1940,50,0.08,0.34,2.0,0,61156.46,77812.66,673.5,31.66,51196.06,0.8547,0.34,0.0612,2.0,0.0133,1,0.02,0,0,1,0,0
CH05044,강의+교육,240000,24050000,446,4429,50,20.24,51.75,256.0,3,133286.84,667996.81,190.1,10.52,207274.62,0.4222,2.556,0.0612,12.65,0.0,0,0.0,0,0,0,0,0
CH05045,가수+댄스+음악,240000,94370000,66,7453,50,53.45,164.52,945.0,11,775424.86,2904060.8,6073.38,509.76,1070842.94,0.4104,3.078,0.0408,17.68,0.0,0,0.0,0,0,0,0,1
CH05046,어린이+키즈,240000,176580000,265,3350,50,27.94,159.96,1136.0,1,15856.12,10604.55,35.58,0.0,15856.12,0.3682,5.725,0.0204,40.66,0.0,0,0.0,0,0,0,0,1
CH05047,자동차,240000,91630000,636,2053,50,3.71,4.05,16.0,0,95381.3,114670.71,1055.02,85.0,81333.67,0.6712,1.091,0.102,4.31,0.0,0,0.0,0,0,0,0,0
CH05048,IT+기술+컴퓨터,240000,57020000,318,2874,50,5.9,3.64,17.0,0,215576.06,407967.48,2180.12,495.3,164409.83,0.7786,0.617,0.102,2.88,0.0267,2,0.04,0,0,2,0,0
CH05051,반려동물+애완,240000,97100000,808,4157,50,23.65,43.29,164.0,9,7789.6,9884.75,74.75,8.57,18853.78,0.5337,1.83,0.102,6.93,0.0,0,0.0,0,0,0,0,0
CH05052,TV+방송,240000,87050000,572,4992,50,6.33,14.91,93.0,3,27715.08,21861.7,513.96,120.9,39826.68,0.4306,2.356,0.0612,14.7,0.0267,1,0.02,1,0,1,0,0
CH05053,TV+방송,240000,82700000,1157,5070,50,17.59,30.62,201.0,8,102259.12,221541.55,2220.02,256.5,123110.09,0.4763,1.741,0.0204,11.43,0.0867,6,0.12,0,1,4,1,0
CH05054,BJ+연예인+인물,240000,86090000,234,5476,50,2.08,2.05,6.0,0,84432.76,230989.96,1505.32,9.24,88065.32,0.7275,0.984,0.0816,2.88,0.0133,1,0.02,0,0,1,0,1
CH05055,라이프+취미,240000,156340000,614,1996,50,7.67,6.64,36.0,1,187037.36,96827.59,8154.4,323.18,195128.09,0.7013,0.865,0.0612,4.69,0.08,5,0.1,0,0,5,0,0
CH05056,게임,240000,436760000,1683,2030,50,0.08,0.27,1.0,0,105413.74,86834.61,897.22,344.44,88898.14,0.868,0.274,0.0816,1.0,0.0733,4,0.08,0,0,5,0,0
CH05057,레시피+요리+음식,250000,70070000,471,3924,50,34.37,85.89,556.0,11,15200.08,25841.7,224.38,16.9,15200.08,0.4307,2.499,0.0408,16.18,0.02,1,0.02,0,0,1,0,1
CH05058,스포츠+운동,250000,551010000,10845,2750,50,0.0,0.0,0.0,0,40815.58,15792.39,1103.9,11.68,40815.58,1.0,0.0,0.0,0.0,0.0133,1,0.02,0,0,1,0,0
CH05061,레시피+요리+음식,250000,374340000,603,2505,50,2.86,2.42,8.0,0,679611.04,3594513.45,3695.54,128.84,68692.64,0.7403,0.846,0.102,2.8,0.1733,10,0.2,0,0,10,0,0
CH05063,가수+댄스+음악,250000,101410000,115,2200,50,21.8,97.82,690.0,3,441689.16,525125.48,7022.76,575.64,578231.83,0.385,4.488,0.0204,31.66,0.0,0,0.0,0,0,0,0,0
CH05064,레시피+요리+음식,250000,58620000,172,3774,50,43.35,233.58,1656.0,5,87716.82,130230.8,102.8,164.42,123715.0,0.3721,5.389,0.0204,38.2,0.0,0,0.0,0,0,0,0,1
CH05065,BJ+연예인+인물,250000,65450000,264,2830,50,6.08,2.81,14.0,0,150751.92,34114.5,1907.84,320.88,150751.92,0.8177,0.461,0.0816,2.3,0.0,0,0.0,0,0,0,0,0
CH05066,레시피+요리+음식,250000,159620000,704,2620,50,3.39,1.01,7.0,0,77154.28,33982.61,3630.44,130.48,77154.28,0.861,0.297,0.0816,2.07,0.06,3,0.06,0,0,3,0,0
CH05067,TV+방송,250000,183170000,1283,2543,50,1.84,4.02,21.0,0,193848.14,268987.64,472.06,4.04,167190.67,0.4384,2.19,0.0612,11.43,0.02,1,0.02,0,0,0,1,0
CH05068,만화+애니+영화,250000,7910000,107,3024,50,0.55,0.64,3.0,0,12136.74,13289.13,188.28,11.1,3308.0,0.7925,0.641,0.0408,3.0,0.0,0,0.0,0,0,0,0,0
CH05069,라이프+취미,250000,107890000,663,2358,50,3.2,1.92,9.0,0,142032.46,130427.94,1320.7,58.9,126464.69,0.7945,0.598,0.0612,2.81,0.08,5,0.1,0,0,5,0,0
CH05070,가수+댄스+음악,250000,206150000,1476,5206,50,0.82,1.61,9.0,0,190633.12,298227.99,3228.86,168.98,203142.24,0.5016,1.612,0.0612,9.0,0.0,0,0.0,0,0,0,0,1
CH05071,가수+댄스+음악,250000,36550000,300,765,50,2.39,4.59,13.0,0,110793.74,248101.9,3378.92,83.76,97742.77,0.5522,1.924,0.1633,5.44,0.0,0,0.0,0,0,0,0,0
CH05072,레시피+요리+음식,250000,124930000,451,3504,50,29.53,175.43,1244.0,2,183320.54,286025.78,1427.1,190.5,183320.54,0.3659,5.941,0.0204,42.13,0.0,0,0.0,0,0,0,0,1
CH05073,TV+방송,250000,44850000,50,4766,50,37.08,110.39,762.0,7,896404.42,955287.15,10645.84,1435.7,896404.42,0.4196,2.977,0.0204,20.55,0.02,2,0.04,0,0,2,0,1
CH05074,미용+패션,250000,104690000,2606,3970,50,2.67,4.77,27.0,0,17112.86,14251.53,150.74,32.54,13748.5,0.4674,1.783,0.0408,10.1,0.04,3,0.06,0,0,3,0,0
CH05075,레시피+요리+음식,250000,43270000,180,4628,50,0.67,0.79,4.0,0,81641.0,74457.58,789.14,157.48,80789.04,0.7198,0.793,0.102,4.0,0.04,3,0.06,0,0,3,0,0
CH05076,미용+패션,250000,50650000,560,5308,50,3.61,2.47,11.0,0,13096.58,45552.56,121.8,13.42,6113.19,0.7649,0.685,0.102,3.05,0.04,2,0.04,0,1,1,0,0
CH05077,라이프+취미,250000,117560000,530,2881,50,3.1,2.02,9.0,0,59948.26,53171.51,4252.3,114.24,69089.28,0.7659,0.652,0.1224,2.9,0.0,0,0.0,0,0,0,0,0
CH05079,BJ+연예인+인물,250000,91550000,284,4442,50,40.86,114.84,785.0,10,744099.5,917355.54,13308.68,1145.14,560711.47,0.4251,2.811,0.0204,19.21,0.02,1,0.02,0,0,1,0,1
CH05080,레시피+요리+음식,250000,30630000,51,5312,50,90.57,461.2,3231.0,6,613565.96,665317.44,3083.98,490.0,702466.63,0.376,5.092,0.0204,35.67,0.0,0,0.0,0,0,0,0,0
CH05082,만화+애니+영화,250000,74460000,196,3217,50,4.04,3.71,20.0,0,711303.9,1591571.09,3318.54,0.0,711303.9,0.6926,0.919,0.0408,4.95,0.0,0,0.0,0,0,0,0,1
CH05083,라이프+취미,250000,27780000,843,3153,50,5.0,22.1,158.0,1,4566.88,4150.88,34.78,3.42,6596.67,0.3861,4.419,0.0204,31.6,0.0333,2,0.04,2,0,0,0,0
CH05084,경제+부동산+주식,250000,55700000,2235,2349,50,0.51,0.81,4.0,0,8095.54,6180.02,113.46,28.22,9436.1,0.7291,0.811,0.0612,4.0,0.0,0,0.0,0,0,0,0,0
CH05085,라이프+취미,250000,90290000,274,3035,50,25.1,64.98,388.0,6,165256.46,115463.48,3219.0,311.06,165256.46,0.421,2.589,0.0612,15.46,0.02,1,0.02,0,0,1,0,1
CH05086,BJ+연예인+인물,250000,21570000,97,3732,50,37.41,85.08,590.0,14,80822.36,118476.86,1932.46,148.96,82427.51,0.4466,2.274,0.0204,15.77,0.0,0,0.0,0,0,0,0,1
CH05087,라이프+취미,250000,143400000,637,2775,50,5.33,2.64,14.0,0,103909.74,70249.16,2883.68,61.88,74429.6,0.8096,0.497,0.0816,2.63,0.0,0,0.0,0,0,0,0,0
CH05088,가수+댄스+음악,250000,14210000,345,3525,50,1.9,1.72,7.0,0,3936.68,15292.19,21.1,1.5,0.0,0.7183,0.905,0.0816,3.69,0.0,0,0.0,0,0,0,0,0
CH05089,게임,250000,129160000,1259,3097,50,1.33,1.42,6.0,0,12633.24,17386.54,157.72,14.9,12633.24,0.6735,1.07,0.0816,4.52,0.0,0,0.0,0,0,0,0,1
CH05090,TV+방송,250000,57440000,3550,2812,50,2.84,2.59,14.0,0,1878.66,3071.28,42.54,5.9,1873.96,0.6755,0.913,0.102,4.94,0.0,0,0.0,0,0,0,0,0
CH05091,만화+애니+영화,250000,255800000,1589,4002,50,1.51,2.48,11.0,0,13092.14,37458.37,327.62,13.42,8143.18,0.5365,1.639,0.102,7.28,0.0,0,0.0,0,0,0,0,0
CH05092,라이프+취미,250000,87130000,332,2379,50,6.24,3.44,22.0,0,90389.66,121252.25,919.52,454.2,81000.58,0.7706,0.551,0.1224,3.52,0.0,0,0.0,0,0,0,0,0
CH05093,라이프+취미,250000,436520000,1371,2000,50,8.47,33.92,240.0,2,71821.08,155716.47,920.42,17.18,313755.57,0.3938,4.005,0.0204,28.34,0.0133,1,0.02,0,0,1,0,0
CH05094,어린이+키즈,250000,84610000,369,3085,50,24.69,127.32,867.0,2,6723.06,4416.42,21.12,0.0,6774.37,0.369,5.156,0.0408,35.11,0.0,0,0.0,0,0,0,0,1
CH05095,BJ+연예인+인물,250000,37690000,211,2503,50,4.84,5.68,30.0,1,44700.8,68721.67,707.1,28.14,38577.7,0.6202,1.174,0.0612,6.2,0.0,0,0.0,0,0,0,0,0
CH05096,경제+부동산+주식,250000,121900000,441,4423,50,4.84,9.45,56.0,1,79053.42,76308.53,711.52,85.12,73487.45,0.4509,1.953,0.0612,11.58,0.0,0,0.0,0,0,0,0,0
CH05098,가수+댄스+음악,250000,54150000,834,3648,50,7.55,9.57,34.0,2,12093.32,10562.77,183.2,9.32,12231.41,0.653,1.268,0.0816,4.5,0.0,0,0.0,0,0,0,0,0
CH05099,게임,250000,436480000,12950,3927,50,0.29,0.61,2.0,0,18154.08,16713.47,220.2,33.64,18154.08,0.7868,0.606,0.0816,2.0,0.02,1,0.02,0,0,1,0,0
CH05100,게임,250000,244360000,4419,4644,50,0.98,0.94,3.0,0,28026.78,8004.95,295.88,42.88,28026.78,0.7215,0.937,0.1224,3.0,0.08,6,0.12,0,0,6,0,0
CH05101,TV+방송,250000,75150000,111,2616,50,1.1,1.75,7.0,0,303792.86,608599.28,3144.58,262.3,481302.42,0.5667,1.59,0.102,6.35,0.0133,1,0.02,0,0,1,0,1
CH05102,만화+애니+영화,250000,53250000,67,3243,50,18.63,25.19,164.0,5,878072.18,966005.49,17915.56,1019.4,884669.57,0.5346,1.352,0.0408,8.8,0.0,0,0.0,0,0,0,0,1
CH05103,라이프+취미,250000,186280000,1160,2732,50,1.31,1.26,4.0,0,30660.46,77901.96,296.68,22.14,2576.55,0.7277,0.968,0.0816,3.06,0.0,0,0.0,0,0,0,0,0
CH05104,TV+방송,250000,1138580000,7315,1818,50,0.08,0.34,2.0,0,36278.26,46305.39,98.5,2.23,0.0,0.8547,0.34,0.0612,2.0,0.0267,2,0.04,0,0,2,0,0
CH05105,라이프+취미,250000,151590000,818,1490,50,0.31,0.93,4.0,0,39598.3,41576.72,331.04,24.62,76645.92,0.6998,0.93,0.102,4.0,0.0,0,0.0,0,0,0,0,0
CH05106,게임,250000,228980000,2773,3661,50,1.02,0.77,3.0,0,50907.68,49411.62,754.08,111.16,29899.36,0.7729,0.754,0.0408,2.94,0.0133,1,0.02,0,0,1,0,0
CH05107,IT+기술+컴퓨터,250000,49450000,704,4024,50,2.92,1.45,7.0,0,39863.6,28832.21,795.62,109.78,39863.6,0.8092,0.498,0.0816,2.4,0.0,0,0.0,0,0,0,0,0
CH05108,BJ+연예인+인물,250000,421700000,4365,4420,50,0.29,0.49,2.0,0,32131.42,42101.48,179.56,25.02,29658.29,0.8284,0.495,0.0204,2.0,0.0133,1,0.02,0,0,1,0,0
CH05109,경제+부동산+주식,250000,31860000,2452,2712,50,0.14,0.45,2.0,0,5825.94,9574.51,47.46,5.78,8586.45,0.8138,0.452,0.102,2.0,0.0933,6,0.12,1,0,4,1,0
CH05110,BJ+연예인+인물,250000,37740000,206,5238,50,2.04,2.42,9.0,0,415235.6,2112982.0,3197.5,51.26,46794.37,0.6458,1.184,0.1429,4.41,0.04,2,0.04,0,2,0,0,0
CH05111,어린이+키즈,250000,173740000,259,3193,50,7.04,12.04,65.0,3,40337.52,55462.06,124.38,1.52,17140.65,0.4881,1.71,0.0612,9.23,0.0,0,0.0,0,0,0,0,0
CH05112,라이프+취미,250000,68510000,1239,2316,50,2.33,2.9,14.0,0,52465.54,87195.59,679.02,75.0,63140.46,0.6059,1.245,0.102,6.02,0.1,6,0.12,0,2,4,0,0
CH05113,게임,250000,97950000,760,1972,50,1.02,1.92,12.0,0,94187.62,38622.2,587.1,69.4,94187.62,0.4612,1.883,0.0408,11.76,0.0733,4,0.08,0,0,4,0,0
CH05114,게임,250000,151050000,1069,2636,50,3.2,4.84,31.0,1,144580.42,45329.27,601.76,109.76,145661.51,0.4839,1.511,0.0816,9.68,0.0267,2,0.04,0,0,2,0,0
CH05115,만화+애니+영화,250000,24930000,89,5308,50,15.92,19.69,122.0,5,246711.44,328857.97,2775.1,246.36,246711.44,0.5719,1.237,0.0612,7.66,0.02,1,0.02,0,1,0,0,1
CH05116,TV+방송,250000,212210000,780,3824,50,5.39,7.09,48.0,1,57512.82,228448.61,869.58,17.54,16218.4,0.541,1.316,0.0204,8.91,0.0,0,0.0,0,0,0,0,1
CH05117,게임,250000,157460000,1767,5070,50,1.65,1.67,7.0,0,10185.94,30121.41,0.0,36.02,10185.94,0.6888,1.012,0.0816,4.23,0.0133,1,0.02,0,0,1,0,1
CH05118,가수+댄스+음악,250000,236460000,666,5443,50,9.67,11.38,32.0,4,44732.98,100025.96,733.04,67.8,100402.72,0.6842,1.176,0.1224,3.31,0.0,0,0.0,0,0,0,0,0
CH05119,만화+애니+영화,250000,134250000,233,2413,50,18.94,14.5,63.0,8,333637.18,161525.59,3335.94,216.08,333637.18,0.7493,0.766,0.0816,3.33,0.0,0,0.0,0,0,0,0,0
CH05120,국내+여행+해외,250000,201520000,734,2948,50,2.63,1.16,7.0,0,200985.32,58326.22,10701.72,309.64,200985.32,0.8353,0.439,0.0408,2.66,0.02,1,0.02,0,0,1,0,0
CH05121,어린이+키즈,250000,236750000,1798,2505,50,3.27,11.24,75.0,1,16502.46,10143.75,39.94,0.0,12570.69,0.4003,3.443,0.0408,22.97,0.0133,1,0.02,0,0,1,0,0
CH05122,반려동물+애완,250000,146830000,520,3585,50,15.9,21.51,118.0,6,515887.32,1312131.99,12445.54,406.36,114923.59,0.5678,1.353,0.0612,7.42,0.0,0,0.0,0,0,0,0,0
CH05123,경제+부동산+주식,250000,35260000,1093,2938,50,2.57,4.73,27.0,0,39831.34,58357.43,448.72,49.38,48378.84,0.4576,1.841,0.0612,10.5,0.0,0,0.0,0,0,0,0,0
CH05124,IT+기술+컴퓨터,250000,36770000,1111,3442,50,0.78,0.68,2.0,0,15664.7,8831.85,857.96,13.54,15664.7,0.7551,0.678,0.1429,2.0,0.04,2,0.04,0,0,1,1,0
CH05125,TV+방송,250000,96730000,568,4185,50,28.29,49.58,197.0,13,75580.0,154284.05,526.3,28.5,33125.07,0.5377,1.753,0.102,6.96,0.0133,1,0.02,0,0,1,0,0
CH05126,가수+댄스+음악,250000,125730000,136,5221,50,37.0,80.35,363.0,11,352888.26,1178629.46,6723.59,441.36,427685.85,0.4324,2.171,0.102,9.81,0.0,0,0.0,0,0,0,0,1
CH05127,게임,250000,95760000,956,3419,50,2.47,2.25,9.0,0,60563.68,72636.74,534.16,162.48,47580.16,0.7126,0.911,0.102,3.64,0.0,0,0.0,0,0,0,0,0
CH05128,게임,250000,203860000,1760,4382,50,1.73,1.12,5.0,0,77010.86,35513.12,444.24,133.36,77010.86,0.7486,0.646,0.1837,2.88,0.0,0,0.0,0,0,0,0,0
CH05129,어린이+키즈,250000,152370000,845,3144,50,21.29,88.31,575.0,3,38761.96,32369.95,382.56,34.24,38681.36,0.3787,4.149,0.0612,27.01,0.02,1,0.02,0,1,0,0,1
CH05130,BJ+연예인+인물,250000,88470000,425,3063,50,23.22,55.15,343.0,9,55638.6,42337.56,768.3,70.38,61055.58,0.4298,2.375,0.0612,14.77,0.0933,6,0.12,0,1,5,0,1
CH05131,BJ+연예인+인물,250000,90280000,249,1597,50,6.37,6.8,50.0,1,160446.7,130131.99,6935.36,298.74,160446.7,0.597,1.068,0.0204,7.85,0.0133,1,0.02,0,0,1,0,0
CH05132,어린이+키즈,250000,117830000,6518,2841,50,0.0,0.0,0.0,0,663.92,1122.11,5.4,0.12,663.92,1.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0
CH05133,미용+패션,260000,28720000,376,3695,50,7.35,10.67,59.0,3,16637.14,43475.92,0.0,21.08,23641.23,0.5357,1.452,0.0816,8.03,0.0133,1,0.02,0,0,1,0,0
CH05134,TV+방송,260000,30680000,399,3098,50,3.33,3.05,13.0,0,101866.54,240410.04,10058.68,259.54,128917.75,0.7044,0.916,0.102,3.91,0.0,0,0.0,0,0,0,0,1
CH05135,게임,260000,148530000,567,3469,50,6.29,3.26,18.0,0,120222.62,64559.83,2081.28,319.42,123084.54,0.7863,0.519,0.1429,2.86,0.16,10,0.2,0,0,10,0,0
CH05136,어린이+키즈,260000,93560000,339,3676,50,3.59,6.1,32.0,1,24230.2,48529.81,279.36,9.36,45191.17,0.498,1.699,0.0612,8.91,0.0,0,0.0,0,0,0,0,0
CH05137,미용+패션,260000,43640000,781,4138,50,3.06,3.16,14.0,0,6170.96,4645.17,99.46,10.42,6090.03,0.6764,1.034,0.0816,4.57,0.0,0,0.0,0,0,0,0,0
CH05138,게임,260000,13920000,119,3782,50,27.57,65.72,447.0,11,112943.9,148736.32,4896.82,377.32,112017.74,0.4355,2.384,0.0408,16.21,0.0,0,0.0,0,0,0,0,1
CH05139,자동차,260000,76190000,251,3303,50,5.53,3.42,18.0,0,40469.02,66616.64,725.5,45.06,39888.32,0.771,0.619,0.102,3.25,0.1733,10,0.2,0,0,12,0,0
CH05140,TV+방송,260000,67110000,124,2616,50,37.41,208.9,1474.0,3,297080.1,455813.53,2869.94,240.24,396145.65,0.3698,5.584,0.0204,39.4,0.0133,1,0.02,0,0,1,0,1
CH05141,TV+방송,260000,133490000,4455,5714,50,0.63,0.72,3.0,0,12420.14,9899.33,392.76,35.8,17491.55,0.7601,0.72,0.102,3.0,0.0467,3,0.06,0,0,3,0,0
CH05142,강의+교육,260000,52270000,353,3497,50,32.94,42.1,229.0,16,108641.12,304644.93,1974.66,48.44,10062.09,0.5882,1.278,0.0612,6.95,0.0,0,0.0,0,0,0,0,0
CH05144,레시피+요리+음식,260000,173780000,530,4926,50,4.22,2.39,8.0,0,153036.32,52566.46,1597.76,144.96,145923.24,0.7825,0.566,0.1224,1.89,0.02,1,0.02,0,1,0,0,0
